site,colour,year,age,weight,yearsite
4,blue,2013,27,592,20134
4,blue,2013,22,520,20134
4,blue,2013,19,501,20134
4,blue,2013,16,406,20134
4,blue,2013,11,250,20134
4,blue,2013,7,123,20134
4,black,2013,25,831,20134
4,black,2013,20,734,20134
4,black,2013,17,606,20134
4,black,2013,14,470,20134
4,black,2013,9,230,20134
4,black,2013,5,104,20134
4,green,2013,26,810,20134
4,green,2013,21,691,20134
4,green,2013,18,629,20134
4,green,2013,15,482,20134
4,green,2013,10,258,20134
4,green,2013,6,116,20134
4,red,2013,24,564,20134
4,red,2013,19,472,20134
4,red,2013,16,408,20134
4,red,2013,13,305,20134
4,red,2013,8,139,20134
4,red,2013,4,62,20134
7,blue,2013,33,873,20137
7,blue,2013,27,869,20137
7,blue,2013,21,704,20137
7,blue,2013,16,428,20137
7,blue,2013,12,295,20137
7,blue,2013,8,146,20137
7,black,2013,30,918,20137
7,black,2013,24,878,20137
7,black,2013,18,638,20137
7,black,2013,13,396,20137
7,black,2013,9,219,20137
7,black,2013,5,101,20137
7,green,2013,34,653,20137
7,green,2013,28,658,20137
7,green,2013,22,572,20137
7,green,2013,17,403,20137
7,green,2013,13,293,20137
7,green,2013,9,164,20137
7,red,2013,34,650,20137
7,red,2013,28,660,20137
7,red,2013,22,584,20137
7,red,2013,17,428,20137
7,red,2013,13,298,20137
7,red,2013,9,178,20137
8,blue,2013,27,636,20138
8,blue,2013,21,635,20138
8,blue,2013,13,383,20138
8,blue,2013,6,135,20138
8,black,2013,26,832,20138
8,black,2013,20,785,20138
8,black,2013,12,364,20138
8,black,2013,5,96,20138
8,green,2013,29,630,20138
8,green,2013,23,628,20138
8,green,2013,15,425,20138
8,green,2013,8,182,20138
8,red,2013,30,920,20138
8,red,2013,24,867,20138
8,red,2013,16,550,20138
8,red,2013,9,218,20138
19,blue,2013,29,568,201319
19,blue,2013,23,543,201319
19,blue,2013,21,516,201319
19,blue,2013,16,368,201319
19,blue,2013,11,207,201319
19,blue,2013,5,63,201319
19,black,2013,26,572,201319
19,black,2013,20,513,201319
19,black,2013,18,306,201319
19,black,2013,15,299,201319
19,black,2013,13,294,201319
19,black,2013,8,161,201319
19,black,2013,2,42,201319
19,green,2013,29,795,201319
19,green,2013,23,690,201319
19,green,2013,21,532,201319
19,green,2013,18,500,201319
19,green,2013,16,420,201319
19,green,2013,11,219,201319
19,green,2013,5,63,201319
19,red,2013,29,608,201319
19,red,2013,23,557,201319
19,red,2013,21,538,201319
19,red,2013,18,540,201319
19,red,2013,16,401,201319
19,red,2013,11,220,201319
19,red,2013,5,63,201319
22,blue,2013,5,33,201322
22,green,2013,2,45,201322
22,red,2013,3,46,201322
23,green,2013,31,405,201323
23,green,2013,23,410,201323
23,green,2013,18,270,201323
23,green,2013,13,262,201323
23,green,2013,7,91,201323
23,green,2013,1,34,201323
23,red,2013,31,620,201323
23,red,2013,23,606,201323
23,red,2013,18,403,201323
23,red,2013,13,352,201323
23,red,2013,7,121,201323
23,red,2013,1,37,201323
23,blue,2013,4,48,201323
28,blue,2013,24,486,201328
28,blue,2013,18,471,201328
28,blue,2013,13,299,201328
28,blue,2013,9,168,201328
28,blue,2013,4,86,201328
28,green,2013,27,790,201328
28,green,2013,21,695,201328
28,green,2013,16,500,201328
28,green,2013,12,264,201328
28,green,2013,7,131,201328
28,red,2013,27,815,201328
28,red,2013,21,742,201328
28,red,2013,16,540,201328
28,red,2013,12,283,201328
28,red,2013,7,146,201328
31,blue,2013,25,703,201331
31,blue,2013,22,686,201331
31,blue,2013,17,542,201331
31,blue,2013,13,395,201331
31,blue,2013,8,156,201331
31,blue,2013,3,48,201331
31,green,2013,26,721,201331
31,green,2013,23,740,201331
31,green,2013,18,573,201331
31,green,2013,14,425,201331
31,green,2013,9,196,201331
31,green,2013,4,65,201331
31,red,2013,27,761,201331
31,red,2013,24,829,201331
31,red,2013,19,631,201331
31,red,2013,15,492,201331
31,red,2013,10,221,201331
31,red,2013,5,76,201331
31,black,2013,5,71,201331
31,black,2013,10,89,201331
31,black,2013,13,143,201331
33,blue,2013,31,766,201333
33,blue,2013,26,846,201333
33,blue,2013,23,787,201333
33,blue,2013,21,669,201333
33,blue,2013,19,585,201333
33,blue,2013,17,515,201333
33,blue,2013,14,370,201333
33,blue,2013,9,149,201333
33,blue,2013,4,67,201333
33,black,2013,32,526,201333
33,black,2013,27,602,201333
33,black,2013,24,599,201333
33,black,2013,22,543,201333
33,black,2013,20,487,201333
33,black,2013,18,438,201333
33,black,2013,15,350,201333
33,black,2013,10,125,201333
33,black,2013,5,77,201333
33,green,2013,31,538,201333
33,green,2013,26,614,201333
33,green,2013,23,610,201333
33,green,2013,21,550,201333
33,green,2013,19,480,201333
33,green,2013,17,445,201333
33,green,2013,14,359,201333
33,green,2013,9,145,201333
33,green,2013,4,66,201333
33,red,2013,33,584,201333
33,red,2013,28,614,201333
33,red,2013,25,584,201333
33,red,2013,23,540,201333
